name,price,reviews,ratings,processor,memory,display,gpu,bettery
HP Pavilion 15-ec2004AX (3E3R5PA) Laptop (15.6 Inch | AMD Hexa Core Ryzen 5 | 8 GB | Windows 10 | 512 GB SSD),"<span class=""price txt-w-b"">₹56,990</span>",4.4/5,13.5K Ratings,"AMD Hexa Core Ryzen 5 - 5600H, 3.3 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) LED Display,"NVIDIA GeForce GTX 1650 GPU, 4 GB VRAM","52.5W, Upto 4 Hrs Battery Life"
ASUS VivoBook 15 X515JA-BQ322WS Laptop (15.6 Inch | Core i3 10th Gen | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹32,990</span>",4.3/5,12.5K Ratings,"Intel Core i3-1005G1 (10th Gen), 1.2 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) LED Display,Intel UHD GPU,45W Adapter
HP 15s-FR2511TU (6N049PA) Laptop (15.6 Inch | Core i3 11th Gen | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹37,999</span>",4.3/5,12.7K Ratings,"Intel Core i3-1115G4 (11th Gen), 4.0 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,Intel Integrated GPU,"65W, Upto 9.15 Hrs Battery Life"
HP 15q-dy0007au (6AL29PA) Laptop (15.6 Inch | AMD Dual Core A9 | 4 GB | Windows 10 | 1 TB HDD),"<span class=""price txt-w-b"">₹26,890</span>",4.1/5,12.9K Ratings,"AMD Dual Core A9-9425, 3.1 Ghz Processor",4 GB RAM | 1 TB HDD Storage,15.6″ (39.62 cm) LED Display,AMD Radeon R5 GPU,65W Adapter
ASUS X543MA-GQ1015T Laptop (15.6 Inch | Celeron Dual Core | 4 GB | Windows 10 | 1 TB HDD),"<span class=""price txt-w-b"">₹21,990</span>",3.7/5,18.1K Ratings,"Intel Celeron Dual Core N4020, 1.1 Ghz Processor",4 GB RAM | 1 TB HDD Storage,15.6″ (39.62 cm) LED Display,Intel UHD 600 GPU,"33W, Upto 18 Hrs Battery Life"
ASUS VivoBook 15 X515EA-EJ322WS Laptop (15.6 Inch | Core i3 11th Gen | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹33,990</span>",4.3/5,"8,593 Ratings","Intel Core i3-1115G4 (11th Gen), 3.0 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,Intel UHD GPU,"65W, Upto 5 Hrs Battery Life"
HP 14s-dy2508TU (6X360PA) Laptop (14 Inch | Core i3 11th Gen | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹45,700</span>",4.3/5,12.4K Ratings,"Intel Core i3-1115G4 (11th Gen), 1.7 Ghz Processor",8 GB RAM | 512 GB SSD Storage,14″ (35.56 cm) Display,Intel UHD GPU,"65W, Upto 9.45 Hrs Battery Life"
HP 14q-cs0005tu (4WQ17PA) Laptop (14 Inch | Core i3 7th Gen | 4 GB | Windows 10 | 1 TB HDD),"<span class=""price txt-w-b"">₹34,456</span>",4.1/5,11.6K Ratings,"Intel Core i3-7020U (7th Gen), 2.3 Ghz Processor",4 GB RAM | 1 TB HDD Storage,14″ (35.56 cm) LED Display,Intel HD 620 GPU,41W Adapter
ASUS VivoBook 15 X515JA-EJ392WS Laptop (15.6 Inch | Core i3 10th Gen | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹35,990</span>",4.3/5,12.2K Ratings,"Intel Core i3-1005G1 (10th Gen), 1.2 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,Intel UHD GPU,45W Adapter
ASUS VivoBook 14 X1400EA-EK543WS Laptop (14 Inch | Core i5 11th Gen | 16 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹46,990</span>",4.3/5,"8,266 Ratings","Intel Core i5-1135G7 (11th Gen), 2.4 Ghz Processor",16 GB RAM | 512 GB SSD Storage,14″ (35.56 cm) Display,Intel Iris Xe GPU,Upto 6 Hrs Battery Life
Apple MacBook Air M2 MLXY3HN/A Ultrabook (13.6 Inch | Apple M2 | 8 GB | macOS Monterey | 256 GB SSD),"<span class=""price txt-w-b"">₹90,990</span>",4.7/5,"6,248 Ratings",Apple M2 Processor,8 GB RAM | 256 GB SSD Storage,13.6″ (34.54 cm) Display,Apple M2 Integrated GPU,"65W, Upto 18 Hrs Battery Life"
ASUS TUF Gaming F15 FX506LHB-HN358W Laptop (15.6 Inch | Core i5 10th Gen | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹58,990</span>",4.4/5,"7,028 Ratings","Intel Core i5-10200H (10th Gen), 2.4 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,"NVIDIA GeForce GTX 1650 GPU, 4 GB VRAM",150W Adapter
HP 15s-gr0012AU (35K35PA) Laptop (15.6 Inch | AMD Dual Core Ryzen 3 | 8 GB | Windows 10 | 1 TB HDD 256 GB SSD),"<span class=""price txt-w-b"">₹41,500</span>",4.3/5,"8,456 Ratings","AMD Dual Core Ryzen 3 3250U, 2.6 Ghz Processor",8 GB RAM | 256 GB SSD Storage,15.6″ (39.62 cm) LED Display,AMD Radeon Vega 6 GPU,"41W, Upto 7 Hrs Battery Life"
HP 15s-eq2144AU (50M63PA) Laptop (15.6 Inch | AMD Hexa Core Ryzen 5 | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹38,011</span>",4.2/5,"7,889 Ratings","AMD Hexa Core Ryzen 5 5500U, 4.0 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,AMD Radeon GPU,"65W, Upto 9 Hrs Battery Life"
ASUS VivoBook 15 X515EA-EJ522WS Laptop (15.6 Inch | Core i5 11th Gen | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹42,480</span>",4.3/5,"8,235 Ratings","Intel Core i5-1135G7 (11th Gen), 2.4 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,Intel Iris Xe GPU,"45W, Upto 6 Hrs Battery Life"
Realme Intel Evo Book Slim Laptop (14 Inch | Core i5 11th Gen | 8 GB | Windows 10 | 512 GB SSD),"<span class=""price txt-w-b"">₹56,424</span>",4.3/5,"7,962 Ratings","Intel Core i5-1135G7 (11th Gen), 2.4 Ghz Processor",8 GB RAM | 512 GB SSD Storage,14″ (35.56 cm) LCD Display,Intel Iris Xe GPU,"65W, Upto 11 Hrs Battery Life"
Acer Aspire 7 A715-42G (UN.QAYSI.016) Laptop (15.6 Inch | AMD Hexa Core Ryzen 5 | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹59,000</span>",4.4/5,"6,525 Ratings","AMD Hexa Core Ryzen 5 - 5500U, 2.1 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,"NVIDIA GeForce GTX 1650 GPU, 4 GB VRAM",135W Adapter
Acer Aspire 7 A715-42G (NH.QAYSI.001) Laptop (15.6 Inch | AMD Hexa Core Ryzen 5 | 8 GB | Windows 10 | 512 GB SSD),"<span class=""price txt-w-b"">₹59,000</span>",4.4/5,"6,634 Ratings","AMD Hexa Core Ryzen 5 5500U, 2.1 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) LED Display,"NVIDIA GeForce GTX 1650 GPU, 4 GB VRAM","135W, Upto 10 Hrs Battery Life"
Acer Aspire 7 A715-42G (UN.QAYSI.006) Laptop (15.6 Inch | AMD Hexa Core Ryzen 5 | 16 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹56,990</span>",4.4/5,"6,634 Ratings",AMD Hexa Core Ryzen 5 - 5500U Processor,16 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) LED Display,"NVIDIA GeForce GTX 1650 GPU, 4 GB VRAM","65W, Upto 11.5 Hrs Battery Life"
Acer Aspire 7 A715-42G (NH.QAYSI.004) Laptop (15.6 Inch | AMD Hexa Core Ryzen 5 | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹50,150</span>",4.4/5,"6,649 Ratings","AMD Hexa Core Ryzen 5 - 5500U, 2.1 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,"NVIDIA GeForce GTX 1650 GPU, 4 GB VRAM",135W Adapter
HP 15s-eq2143au (50M62PA) Laptop (15.6 Inch | AMD Quad Core Ryzen 3 | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹32,490</span>",4.2/5,"7,803 Ratings","AMD Quad Core Ryzen 3 - 5300U, 2.6 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,AMD Radeon GPU,Upto 9 Hrs Battery Life
ASUS TUF Gaming F15 FX506LHB-HN355WS Laptop (15.6 Inch | Core i5 10th Gen | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹44,990</span>",4.4/5,"6,392 Ratings","Intel Core i5-10300H (10th Gen), 2.5 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,"NVIDIA GeForce GTX 1650 GPU, 4 GB VRAM","150W, Upto 14.7 Hrs Battery Life"
Lenovo Ideapad 3 15ITL05 (81X800N2IN) Laptop (15.6 Inch | Core i3 11th Gen | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹35,190</span>",4.2/5,"7,510 Ratings","Intel Core i3-1115G4 (11th Gen), 3.0 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,Intel UHD GPU,Upto 7 Hrs Battery Life
ASUS VivoBook 15 X515JA-EJ562WS Laptop (15.6 Inch | Core i5 10th Gen | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹48,188</span>",4.3/5,"6,745 Ratings","Intel Core i5-1035G1 (10th Gen), 1.0 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) LED Display,Intel UHD GPU,"45W, Upto 6 Hrs Battery Life"
ASUS VivoBook 15 X515JA-EJ592WS Laptop (15.6 Inch | Core i5 10th Gen | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹44,990</span>",4.3/5,"6,935 Ratings","Intel Core i5-1035G1 (10th Gen), 1.0 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,Intel UHD GPU,45W Adapter
ASUS VivoBook 14 X412FA-EK363T Laptop (14 Inch | Core i3 10th Gen | 4 GB | Windows 10 | 256 GB SSD),"<span class=""price txt-w-b"">₹35,990</span>",4.4/5,"6,369 Ratings","Intel Core i3-1005G1 (10th Gen), 2.1 Ghz Processor",4 GB RAM | 256 GB SSD Storage,14″ (35.56 cm) LED Display,Intel UHD GPU,45W Adapter
Lenovo Ideapad Slim 3i 15ITL05 (81X800J3IN) Laptop (15.6 Inch | Core i3 11th Gen | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹40,990</span>",4.3/5,"6,778 Ratings","Intel Core i3-1115G4 (11th Gen), 3.0 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,Intel UHD GPU,"65W, Upto 8 Hrs Battery Life"
ASUS TUF Gaming F15 FX506LH-HN258T Laptop (15.6 Inch | Core i5 10th Gen | 8 GB | Windows 10 | 512 GB SSD),"<span class=""price txt-w-b"">₹59,990</span>",4.4/5,"6,120 Ratings","Intel Core i5-10300H (10th Gen), 2.5 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) LED Display,"NVIDIA GeForce GTX 1650 GPU, 4 GB VRAM","150W, Upto 6 Hrs Battery Life"
HP 14s-cf3074TU (1V4R6PA) Laptop (14 Inch | Core i3 10th Gen | 8 GB | Windows 10 | 256 GB SSD),"<span class=""price txt-w-b"">₹30,990</span>",4.3/5,"7,177 Ratings","Intel Core i3-1005G1 (10th Gen), 1.2 Ghz Processor",8 GB RAM | 256 GB SSD Storage,14″ (35.56 cm) LED Display,Intel UHD GPU,65W Adapter
ASUS VivoBook 14 X412FA-EK361T Ultrabook (14 Inch | Core i3 10th Gen | 4 GB | Windows 10 | 256 GB SSD),"<span class=""price txt-w-b"">₹35,990</span>",4.4/5,"6,390 Ratings","Intel Core i3-10110U (10th Gen), 2.1 Ghz Processor",4 GB RAM | 256 GB SSD Storage,14″ (35.56 cm) LED Display,Intel UHD GPU,45W Adapter
Xiaomi RedmiBook 15 Pro Laptop (15.6 Inch | Core i5 11th Gen | 8 GB | Windows 10 | 512 GB SSD),"<span class=""price txt-w-b"">₹41,990</span>",4.1/5,"7,376 Ratings","Intel Core i5-11300H (11th Gen), 3.1 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) LED Display,Intel Iris Xe GPU,"65W, Upto 10 Hrs Battery Life"
HP 15s-dy3001TU (360L7PA) Laptop (15.6 Inch | Pentium Dual Core | 8 GB | Windows 10 | 1 TB HDD),"<span class=""price txt-w-b"">₹41,181</span>",4.0/5,"7,552 Ratings","Intel Pentium Dual Core 4415U, 3.0 Ghz Processor",8 GB RAM | 1 TB HDD Storage,15.6″ (39.62 cm) LED Display,Intel UHD GPU,65W Adapter
Infinix INBook X1 XL11 Laptop (14 Inch | Core i3 10th Gen | 8 GB | Windows 11 | 256 GB SSD),"<span class=""price txt-w-b"">₹37,462</span>",4.2/5,"6,026 Ratings","Intel Core i3-1005G1 (10th Gen), 1.2 Ghz Processor",8 GB RAM | 256 GB SSD Storage,14″ (35.56 cm) LCD Display,Intel UHD GPU,"65W, Upto 13 Hrs Battery Life"
HP 14s-fq1089au (50M59PA) Laptop (14 Inch | AMD Quad Core Ryzen 3 | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹33,499</span>",4.3/5,"6,118 Ratings","AMD Quad Core Ryzen 3 - 5300U, 4.0 Ghz Processor",8 GB RAM | 512 GB SSD Storage,14″ (35.56 cm) Display,AMD Radeon GPU,"65W, Upto 9.45 Hrs Battery Life"
Lenovo Ideapad 130 (81H7001WIN) Laptop (15.6 Inch | Core i3 7th Gen | 4 GB | Windows 10 | 1 TB HDD),"<span class=""price txt-w-b"">₹36,370</span>",4.0/5,"7,997 Ratings","Intel Core i3-7020U (7th Gen), 2.3 Ghz Processor",4 GB RAM | 1 TB HDD Storage,15.6″ (39.62 cm) LED Display,Intel HD 620 GPU,"45W, Upto 5 Hrs Battery Life"
AVITA Pura NS14A6INV561 Laptop (14 Inch | AMD Quad Core Ryzen 5 | 8 GB | Windows 10 | 512 GB SSD),"<span class=""price txt-w-b"">₹49,990</span>",4.1/5,"7,030 Ratings","AMD Quad Core Ryzen 5 3500U, 2.1 Ghz Processor",8 GB RAM | 512 GB SSD Storage,14″ (35.56 cm) LED Display,AMD Radeon Vega 8 GPU,Upto 8 Hrs Battery Life
HP 15s-fq5007TU (67V50PA) Laptop (15.6 Inch | Core i3 12th Gen | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹38,990</span>",4.2/5,"6,051 Ratings","Intel Core i3-1215U (12th Gen), 4.2 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,Intel UHD GPU,"65W, Upto 10.45 Hrs Battery Life"
Infinix INBook X1 Slim XL21 Laptop (14 Inch | Core i3 10th Gen | 8 GB | Windows 11 | 256 GB SSD),"<span class=""price txt-w-b"">₹35,602</span>",4.2/5,"6,095 Ratings","Intel Core i3-1005G1 (10th Gen), 1.2 Ghz Processor",8 GB RAM | 256 GB SSD Storage,14″ (35.56 cm) Display,"Intel UHD GPU, 128 MB VRAM","65W, Upto 11 Hrs Battery Life"
Acer One 14 Z8-415 (UN.599SI.011) Laptop (14 Inch | Core i3 11th Gen | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹27,990</span>",4.2/5,"6,221 Ratings","Intel Core i3-1115G4 (11th Gen), 3.0 Ghz Processor",8 GB RAM | 512 GB SSD Storage,14″ (35.56 cm) Display,Intel UHD GPU,45W Adapter
Lenovo Ideapad Slim 3i 15ITL6 (82H802XXIN) Laptop (15.6 Inch | Core i5 11th Gen | 16 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹50,990</span>",4.2/5,"5,899 Ratings","Intel Core i5-1135G7 (11th Gen), 2.4 Ghz Processor",16 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,Intel Iris Xe GPU,"65W, Upto 7 Hrs Battery Life"
Lenovo Ideapad Slim 3 15ITL6 (82H803LKIN) Laptop (15.6 Inch | Core i5 11th Gen | 16 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹59,999</span>",4.2/5,"5,833 Ratings","Intel Core i5-1135G7 (11th Gen), 2.5 Ghz Processor",16 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,Intel Iris Xe GPU,Upto 7 Hrs Battery Life
Infinix INBook X1 XL11 Laptop (14 Inch | Core i3 10th Gen | 8 GB | Windows 11 | 256 GB SSD),"<span class=""price txt-w-b"">₹28,990</span>",4.2/5,"6,105 Ratings","Intel Core i3-1005G1 (10th Gen), 1.2 Ghz Processor",8 GB RAM | 256 GB SSD Storage,14″ (35.56 cm) LCD Display,Intel UHD GPU,"65W, Upto 13 Hrs Battery Life"
Lenovo Ideapad Slim 3 (82H802KVIN) Laptop (15.6 Inch | Core i5 11th Gen | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹54,990</span>",4.2/5,"6,001 Ratings","Intel Core i5-1135G7 (11th Gen), 2.4 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,Intel Integrated GPU,"65W, Upto 6 Hrs Battery Life"
Acer One 14 Z8-415 (UN.599SI.009) Laptop (14 Inch | Core i3 11th Gen | 8 GB | Windows 11 | 256 GB SSD),"<span class=""price txt-w-b"">₹26,999</span>",4.2/5,"6,221 Ratings","Intel Core i3-1115G4 (11th Gen), 3.0 Ghz Processor",8 GB RAM | 256 GB SSD Storage,14″ (35.56 cm) Display,Intel Integrated GPU,45W Adapter
Lenovo Ideapad Slim 3 15ITL6 (82H803HQIN) Laptop (15.6 Inch | Core i5 11th Gen | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹40,990</span>",4.2/5,"5,806 Ratings","Intel Core i5-1155G7 (11th Gen), 2.5 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,Intel Iris Xe GPU,Upto 7 Hrs Battery Life
Lenovo Ideapad Slim 1 15ALC7 (82R400ERIN) Laptop (15.6 Inch | AMD Hexa Core Ryzen 5 | 16 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹39,990</span>",4.2/5,"5,691 Ratings","AMD Hexa Core Ryzen 5 - 5500U, 2.1 Ghz Processor",16 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,AMD Radeon GPU,"65W, Upto 9 Hrs Battery Life"
HP 14s-dy2506TU (546K2PA) Laptop (14 Inch | Core i3 11th Gen | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹45,890</span>",4.3/5,"5,186 Ratings","Intel Core i3-1125G4 (11th Gen), 3.4 Ghz Processor",8 GB RAM | 512 GB SSD Storage,14″ (35.56 cm) LED Display,Intel UHD GPU,65W Adapter
Lenovo Ideapad Gaming 3i (82K101B6IN) Laptop (15.6 Inch | Intel Core i5 11th Gen | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹53,599</span>",4.3/5,"5,239 Ratings","Intel Core i5-11320H (11th Gen), 2.5 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,"NVIDIA GeForce GTX 1650 GPU, 4 GB VRAM","135W, Upto 8 Hrs Battery Life"
